Day,Cash On Hand
11,522578
12,232668
13,507099
14,269754
15,201150
16,172569
17,310442
18,574697
19,96740
20,217253
21,342902
22,440297
23,453224
24,7150
25,175968
26,85781
27,594350
28,215375
29,182213
30,333033
31,286787
32,277091
33,1508341
34,2723061
35,4052117
36,3890728
37,3476546
38,3334964
39,3419566
40,2860116
41,4546135
42,4819237
43,4551715
44,5367477
45,7757239
46,7672279
47,8442309
48,7658708
49,5439344
50,4794100
51,8284406
52,8989457
53,9406175
54,9962424
55,10223967
56,10267780
57,9240726
58,9212778
59,10091104
60,10482776
61,10656416
62,10730870
63,10498572
64,10794995
65,12746096
66,13025947
67,13221403
68,12654545
69,12456568
70,13896180
71,14647152
72,15695618
73,16074061
74,18188549
75,17633335
76,17538659
77,17793840
78,17443596
79,17495978
80,17419384
81,17793846
82,17793919
83,17565105
84,18501527
85,21143988
86,20809376
87,21033286
88,22683058
89,23332002
90,25400823
